id	name	flag_color_1	flag_color_2	flag_color_3
4	Afghanistan	#000000	#d32011	#007a36
8	Albania	#e41e20	#000000	
12	Algeria	#006233	#FFFFFF	#d21034
24	Angola	#d8241b	#1f1916	#f7d418
10	Antarctica	#072b5f	#FFFFFF	#acb8c9
32	Argentina	#74acdf	#FFFFFF	#f3b00e
51	Armenia	#d90012	#0033a0	#f2a800
36	Australia	#FF0000	#FFFFFF	#00008b
40	Austria	#ed2939	#FFFFFF	
31	Azerbaijan	#00b9e4	#ed2939	#3f9c35
44	Bahamas			
50	Bangladesh	#006a4e	#f42a41	
112	Belarus	#FFFFFF	#c8313e	#4aa657
56	Belgium	#000000	#fae042	#ed2939
84	Belize			
204	Benin	#008751	#FCD116	#E8112D
64	Bhutan	#ffd520	#ff4e12	
68	Bolivia	#d52b1e	#f9e300	#007934
70	Bosnia and Herzegovina			
72	Botswana	#75aadb	#ffffff	#000000
76	Brazil			
96	Brunei Darussalam			
100	Bulgaria			
854	Burkina Faso			
108	Burundi			
116	Cambodia			
120	Cameroon			
124	Canada			
140	Central African Republic			
148	Chad			
152	Chile			
156	China			
170	Colombia			
178	Congo			
180	Congo, the Democratic Republic of the			
188	Costa Rica			
384	Cote d'Ivoire			
191	Croatia			
192	Cuba			
196	Cyprus			
203	Czech Republic			
208	Denmark			
262	Djibouti			
214	Dominican Republic			
218	Ecuador			
818	Egypt			
222	El Salvador			
226	Equatorial Guinea			
232	Eritrea			
233	Estonia			
231	Ethiopia			
238	Falkland Islands			
242	Fiji			
246	Finland			
250	France			
260	French Southern Territories			
266	Gabon			
270	Gambia			
268	Georgia	#FFFFFF	#FF0000	
276	Germany			
288	Ghana			
300	Greece			
304	Greenland			
320	Guatemala			
324	Guinea			
624	Guinea-Bissau			
328	Guyana			
332	Haiti			
340	Honduras			
348	Hungary			
352	Iceland			
356	India	#ff9933	#FFFFFF	#128807
360	Indonesia	#ce1126	#FFFFFF	
364	Iran	#239f40	#FFFFFF	#DA0000
368	Iraq	#ce1126	#FFFFFF	#000000
372	Ireland			
376	Israel	#FFFFFF	#0038b8	
380	Italy			
388	Jamaica			
392	Japan	#FFFFFF	#bc002d	
400	Jordan			
398	Kazakhstan			
404	Kenya			
408	North Korea			
410	South Korea			
414	Kuwait			
417	Kyrgyzstan			
418	Lao People's Democratic Republic			
428	Latvia			
422	Lebanon			
426	Lesotho			
430	Liberia			
434	Libya			
440	Lithuania			
442	Luxembourg			
807	Macedonia			
450	Madagascar			
454	Malawi			
458	Malaysia			
466	Mali			
478	Mauritania			
484	Mexico			
498	Moldova			
496	Mongolia			
499	Montenegro			
504	Morocco			
508	Mozambique			
104	Myanmar			
516	Namibia			
524	Nepal			
528	Netherlands			
540	New Caledonia			
554	New Zealand			
558	Nicaragua			
562	Niger			
566	Nigeria			
578	Norway			
512	Oman	#ffffff	#db161b	#008000
586	Pakistan			
275	Palestinian Territory			
591	Panama			
598	Papua New Guinea			
600	Paraguay			
604	Peru			
608	Philippines			
616	Poland			
620	Portugal			
630	Puerto Rico			
634	Qatar			
642	Romania			
643	Russian Federation			
646	Rwanda			
682	Saudi Arabia			
686	Senegal			
688	Serbia			
694	Sierra Leone			
703	Slovakia			
705	Slovenia			
90	Solomon Islands			
706	Somalia			
710	South Africa			
728	South Sudan			
724	Spain			
144	Sri Lanka			
729	Sudan			
740	Suriname			
748	Swaziland			
752	Sweden			
756	Switzerland			
760	Syrian Arab Republic			
158	Taiwan			
762	Tajikistan			
834	Tanzania			
764	Thailand			
626	Timor-Leste			
768	Togo			
780	Trinidad and Tobago			
788	Tunisia			
792	Turkey	#e30917	#FFFFFF	
795	Turkmenistan			
800	Uganda			
804	Ukraine			
784	United Arab Emirates			
826	United Kingdom			
840	United States			
858	Uruguay			
860	Uzbekistan			
548	Vanuatu			
862	Venezuela			
704	Viet Nam			
732	Western Sahara			
887	Yemen	#ce1126	#FFFFFF	#000000
894	Zambia			
716	Zimbabwe			